file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS_M0487_0593_3987823_to_3991178,ཉི་མ་དེ་འདྲའི་ཚ་བོ་ཡོད་རེད་ད་རཱ། དེ་འདྲའི་འགྲོ་བསྡད་ཡོད་རེད།  ,nyi ma de 'dra'i tsha bo yod red da rA/_de 'dra'i 'gro bsdad yod red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0487_0593_3987823_to_3991178.wav,STT_NS,3,62,3.355,wav16k/STT_NS_M0487_0593_3987823_to_3991178.wav,ཉི་མ་དེ་འདྲའི་ཚ་བོ་ཡོད་རེད་ད་རཱ། དེ་འདྲའི་འགྲོ་བསྡད་ཡོད་རེད།
STT_MV0595_0329_2589874_to_2595297,སྐུ་ཤོགས་ལིང་ལགས། སྐུ་ཤོགས་ལིང་ལགས། ལིང་ཞན། ལིང་ཞན་ཀྱེ། ལམ་སང་ན་བཟའ་བརྗེས་བྱས་ངའི་མོ་ཊས་སྨན་ཁང་སྐྱེལ་གཏོང་།  ,sku shogs ling lags/_sku shogs ling lags/_ling zhan/_ling zhan kye/_lam sang na bza' brjes byas nga'i mo Tas sman khang skyel gtong /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0595_0329_2589874_to_2595297.wav,STT_MV,3,109,5.423,wav16k/STT_MV0595_0329_2589874_to_2595297.wav,སྐུ་ཤོགས་ལིང་ལགས། སྐུ་ཤོགས་ལིང་ལགས།  ལིང་ཤན། ལམ་སང་ན་བཟའ་བརྗེས་བྱས་ངའི་མོ་ཇའི་སྨན་སང་སྐྱལ།
STT_NS_M0487_0611_4149094_to_4152461,གནག་པོ་བྱེད་ཡ་གཅིག་ཡོད་བ། མི་དེ་ལ་ཡོད་བ་གནག་པོ་རྐང་བཙུགས་ནས་བྱེད་ཀི་ཡོད་མེད་ཧ་གོ་མེད་རེད་ར་ཡང་། ཡིན་ནས་གནག ,gnag po byed ya gcig yod ba/_mi de la yod ba gnag po rkang btsugs nas byed ki yod med ha go med red ra yang /_yin nas gnag_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0487_0611_4149094_to_4152461.wav,STT_NS,3,107,3.367,wav16k/STT_NS_M0487_0611_4149094_to_4152461.wav,གཔོ་ཆེད་ཡ་ཅིག་ཡོད་བ།མི་དེ་ལ་ཡོད་བ། གནག་པོ་རྐང་བཙུགས་ནས་བྱེད་ཀི་ཡོད་མེད་ཧ་གོ་མེད་རེད་བ་ཡ། ཡིན་ནས་གནག
STT_MV0520_0011_71753_to_79753,ང་ཚོའི་བོད་ལ་འཛམ་གླིང་ཐོག་ཨང་དང་པོ་བྱས་པ་ག་རེ་ག་རེ་ཡོད་རེད། ཁྱེད་རང་མར་གཅིག་གསུང་དང་། ཁྱེད་རང་གིས་གསན་ཨ། འོ། འཛམ་གླིང་སྟེང་གི་རི་བོ་མཐོ་ཤོས་ཧི་མ་ལ། དེ་ནི་སའི་གོ་ལའི་མཐོ་སྒང་ཞིག་རེད།  ,nga tsho'i bod la 'dzam gling thog ang dang po byas pa ga re ga re yod red/_khyed rang mar gcig gsung dang /_khyed rang gis gsan a/_'o/_'dzam gling steng gi ri bo mtho shos hi ma la/_de ni sa'i go la'i mtho sgang zhig red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0520_0011_71753_to_79753.wav,STT_MV,3,183,8.0,wav16k/STT_MV0520_0011_71753_to_79753.wav,ང་ཚོ་བོད་ལ་འཛམ་གླིང་ཐོག་ཨང་དང་པོ་བྱས་པ་ག་རེ་ག་རེ་ཡོད་རེད། ཁྱེད་རང་མར་ྤྱིན་སོག། ཁྱེད་ལག་གསན་ཨ། འོ། འཛམ་གླིང་སྟིང་གི་རི་བོ་མཐོ་ཤོས། ཨེ་མ་ལ། དེ་ནི་སའི་གོ་ལའི་ཚོགས་ཁང་གཅིག་རེད།
STT_MV0520_0014_90055_to_97715,འཛམ་གླིང་སྟེང་གི་རི་བོ་ཇོ་མོ་གླང་མ་ལ་འཛེག་མཁན་བུད་མེད་ཨང་པོ་དེའི་མིང་ལ་ཕན་ཐོགས། དེ་ནི་བོད་མིའི་མཛངས་མའི་ནང་མཛངས་མ་མོ་ཁྱོ་ག་རང་རེད།  ,'dzam gling steng gi ri bo jo mo glang ma la 'dzeg mkhan bud med ang po de'i ming la phan thogs/_de ni bod mi'i mdzangs ma'i nang mdzangs ma mo khyo ga rang red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0520_0014_90055_to_97715.wav,STT_MV,3,132,7.66,wav16k/STT_MV0520_0014_90055_to_97715.wav,འཛམ་གླིང་འདིང་གི་རི་བོ་འཇོན་པ་ལམ་ག་མཛང་ག བུད་མེད་ཨང་དང་པོ་དེའི་མིང་ལ་ཡ། ཕན་ཐོགས། དེ་ནི་བུད་མེད་མཛངས་མའི་ནང་གི་མཛངས་མ་མོ་ཁྱོ་ག་རང་རེད།
STT_NS_M0487_0613_4160401_to_4162758,ག་རེ་ལབ་དགོས་རེད་ད་སོ་སོ་ག་ལེར་ག་ལེར་ད་མི་ཚང་།  ,ga re lab dgos red da so so ga ler ga ler da mi tshang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0487_0613_4160401_to_4162758.wav,STT_NS,3,48,2.357,wav16k/STT_NS_M0487_0613_4160401_to_4162758.wav,ག་ར་ལབ་དགོས་རེད་ད་སོ་སོ་ག་ལེར་ག་ལེར་ད་མི་ཚང་མ།
STT_NS_M0487_0616_4169456_to_4172452,འདྲ་བོ་བྱས་ཨེ་འདྲའི་བྱས་རཱ། སོ་སོ་སྐྱིད་པོ་མེད་བ་ཆགས སོ་སོ་སེམས་པ།  ,'dra bo byas e 'dra'i byas rA/_so so skyid po med ba chags_so so sems pa/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0487_0616_4169456_to_4172452.wav,STT_NS,3,68,2.996,wav16k/STT_NS_M0487_0616_4169456_to_4172452.wav,འདྲ་བོ་བྱས་ཨེ་འདྲའི་བྱས་རཱ། སོ་སོ་སྐྱིད་པོ་མེད་པ་བྱགས། སོ་སོའི་སེམས་པ།
STT_NS_M0487_0617_4179274_to_4183916,ཨེ་འདྲའི་འདྲ་བོ་རེད། ད་གཞན་པ་འདྲ་བོ་ལབ་ན་ང་ངས་ཀིས་ད་གིན་སྒང་ལ་ལབ་པ་ནང་བཞིན་ང་།  ,e 'dra'i 'dra bo red/_da gzhan pa 'dra bo lab na nga ngas kis da gin sgang la lab pa nang bzhin nga /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0487_0617_4179274_to_4183916.wav,STT_NS,3,80,4.642,wav16k/STT_NS_M0487_0617_4179274_to_4183916.wav,ཨེ་འདྲའི་འདྲ་བོ་རེད། ད་གཞན་པ་འདྲ་བོ་ལབ་ན་ང་ངས་ཀིས་ད་གིན་སྒང་ལ་ལབ་པ་ནང་བཞིན་ང་།
STT_NS_M0487_0619_4192005_to_4199110,ག་རེ་ད་ཁ་ལག་ལབ་ཡ་དེ་ད་ངའི་བརྗོད་གཞི་ཡག་ཤོས་སྐྱིད་ཤོས། ང་རང་དགའ་ཤོས་འདྲ་བོ་ཆགས་ཀི་འདུག་རཱ། གང་ཤེས་ག་བྱས་ནས་ཡིན་ན་རཱ། ཁ་ལག་ལ།  ,ga re da kha lag lab ya de da nga'i brjod gzhi yag shos skyid shos/_nga rang dga' shos 'dra bo chags ki 'dug rA/_gang shes ga byas nas yin na rA/_kha lag la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0487_0619_4192005_to_4199110.wav,STT_NS,3,125,7.105,wav16k/STT_NS_M0487_0619_4192005_to_4199110.wav,ག་རེ་ད་ཁ་ལག་ལབ་ཡ་དེ་ད་ངའི་བརྗོད་གཞི་ཡག་ཤོས་སྐྱིད་ཤོས་རཱ། ང་རང་དགའ་ཤོས་འདྲ་བོ་ཆགས་ཀི་འདུག་རཱ། གང་ཤེས་ག་ར་བྱས་ནས་ལབ་ན་རཱ། ཁ་ལག་ལ།
STT_MV0520_0012_79753_to_84163,འཛམ་གླིང་སྟེང་གི་ཕོ་བྲང་ཆེ་ཤོས་པོ་ཏ་ལ། དེ་ནི་སའི་གོ་ལའི་གཙུག་རྒྱན་གི་ནོར་བུ་གཅིག་རེད།  ,'dzam gling steng gi pho brang che shos po ta la/_de ni sa'i go la'i gtsug rgyan gi nor bu gcig red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0520_0012_79753_to_84163.wav,STT_MV,3,87,4.41,wav16k/STT_MV0520_0012_79753_to_84163.wav,འཛམ་གླིང་སྟིང་གི་ཕོ་བྲང་ཆེ་ཤོས་པོ་ཏ་ལ། དེ་ནི་སའི་གོ་ལའི་གཙུག་རྒྱན་གི་ནོར་བུ་གཅིག་
